external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJYesxVFf5sUARs_w0y3cFnbc,Salon Art Together,Salon de înfrumusețare,"Strada Amman 29, Bucuresti",011614,București,44.4563618,26.0997818,https://www.arttogether.ro/,+40772060802,contact@arttogether.ro,https://www.facebook.com/andrei.barajin.35,https://www.instagram.com/andrei_barajin_style13,,,https://www.tiktok.com/@arttogether0,,,,,https://www.google.com/maps/place/Salon+Art+Together/data=!4m7!3m6!1s0x40b1f9575431eb61:0xb79d0577cb34fcb3!8m2!3d44.4563618!4d26.0997818!16s%2Fg%2F11ry3c9czp!19sChIJYesxVFf5sUARs_w0y3cFnbc?authuser=0&hl=ru&rclk=1,open,joi: 10–19; vineri: 10–19; sâmbătă: 09–14; duminică: Închis; luni: Închis; marți: 10–19; miercuri: 10–19
ChIJSZoCowcCskARXOoZzKH0eKM,Cristi Pascu Exclusive,Salon de înfrumusețare,"Bloc D1, Calea Victoriei 155, Bucuresti",010073,București,44.4514337,26.0846957,https://www.cristipascu.ro/,+40749111222,email@cristipascuexlusive.com,https://www.facebook.com/CristiPascuExclusive,https://www.instagram.com/cristipascu_exclusive,,,,,,,,https://www.google.com/maps/place/Cristi+Pascu+Exclusive/data=!4m7!3m6!1s0x40b20207a3029a49:0xa378f4a1cc19ea5c!8m2!3d44.4514337!4d26.0846957!16s%2Fg%2F1hc6297_d!19sChIJSZoCowcCskARXOoZzKH0eKM?authuser=0&hl=ru&rclk=1,open,joi: 08–20; vineri: 08–20; sâmbătă: 09–18; duminică: 09–14; luni: 08–20; marți: 08–20; miercuri: 08–20
ChIJIUjApk__sUAR-waTZfpAtTo,Gaal HairPlay,Salon de înfrumusețare,"Strada Docenților 22, Bucuresti",011404,București,44.4623209,26.0785032,https://www.gaalhairplay.ro/contact/,+40741593127,office@gaalhairplay.ro,https://www.facebook.com/gaalhair,,,,,,,,https://ro.pinterest.com/gaalhairplay,https://www.google.com/maps/place/Gaal+HairPlay/data=!4m7!3m6!1s0x40b1ff4fa6c04821:0x3ab540fa659306fb!8m2!3d44.4623209!4d26.0785032!16s%2Fg%2F1thg8z1b!19sChIJIUjApk__sUAR-waTZfpAtTo?authuser=0&hl=ru&rclk=1,open,joi: 10–17; vineri: 10–17; sâmbătă: Închis; duminică: Închis; luni: 10–17; marți: 10–17; miercuri: 10–17
ChIJgST1r5oBskARnule6g2oaSI,Inspire Salon,Salon de înfrumusețare,"Strada Teodosie Rudeanu 3, Bucuresti",011257,București,44.4536392,26.0729009,,+40753128444,,,,,,,,,,,https://www.google.com/maps/place/Inspire+Salon/data=!4m7!3m6!1s0x40b2019aaff52481:0x2269a80dea5ee99e!8m2!3d44.4536392!4d26.0729009!16s%2Fg%2F11h4nhklkw!19sChIJgST1r5oBskARnule6g2oaSI?authuser=0&hl=ru&rclk=1,open,joi: 11–21:30; vineri: 11–21:30; sâmbătă: 11–21:30; duminică: Închis; luni: 11–21:30; marți: 11–21:30; miercuri: 11–21:30
ChIJA1RpRd3_sUARMqhtVkmyXGk,Kontur Beauty Labs,Salon de înfrumusețare,"Bulevardul Decebal 16, Bucuresti",030968,București,44.4292766,26.1348049,https://konturbeautylabs.ro/contact/,+40769697434,contact@konturbeautylabs.ro,https://www.facebook.com/konturbeautylabs,https://www.instagram.com/konturbeautylabs,,,https://www.tiktok.com/@konturbeautylabs,,,,,https://www.google.com/maps/place/Kontur+Beauty+Labs/data=!4m7!3m6!1s0x40b1ffdd45695403:0x695cb249566da832!8m2!3d44.4292766!4d26.1348049!16s%2Fg%2F11gk349rym!19sChIJA1RpRd3_sUARMqhtVkmyXGk?authuser=0&hl=ru&rclk=1,unspecified,
ChIJq6qW-Kv4sUARW99SnYe_Vek,Cursuri Vopsit Balayage,Coafor,"Str. Nicolae G. Caramfil 40, Bucuresti",014410,București,44.482109,26.092763,https://balayage.ro/inscriere-curs,+40799222909,office@balayage.ro,https://www.facebook.com/BalayageRomania,,,,,,,,,https://www.google.com/maps/place/Cursuri+Vopsit+Balayage/data=!4m7!3m6!1s0x40b1f8abf896aaab:0xe955bf879d52df5b!8m2!3d44.482109!4d26.092763!16s%2Fg%2F11fp8z5y3l!19sChIJq6qW-Kv4sUARW99SnYe_Vek?authuser=0&hl=ru&rclk=1,open,joi: 10–17; vineri: 10–17; sâmbătă: 10–17; duminică: Închis; luni: 10–17; marți: 10–17; miercuri: 10–17
ChIJoXFY-6n4sUAR28sMHu30FzA,Tribute Salon by George Soare,Salon de înfrumusețare,"Strada Londra 36, Bucuresti",000000,București,44.4569749,26.0932989,https://www.tributesalon.ro/,+40749155595,,https://www.facebook.com/tributesalon,https://instagram.com/tributesalon,https://api.whatsapp.com/send?phone=40749155595,,,,,,,https://www.google.com/maps/place/Tribute+Salon+by+George+Soare/data=!4m7!3m6!1s0x40b1f8a9fb5871a1:0x3017f4ed1e0ccbdb!8m2!3d44.4569749!4d26.0932989!16s%2Fg%2F11b5pj0d82!19sChIJoXFY-6n4sUAR28sMHu30FzA?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: 09–18; duminică: Închis; luni: 09–21; marți: 09–21
ChIJ__70Pyn_sUARpnxeXdPqaAg,BeOne Beauty Center,Salon de înfrumusețare,"Mezanin, Bulevardul Libertății 22, Bucuresti",050707,București,44.4320891,26.092243,https://chicsalon.ro/programare-online/,+40728338055,,,,,,,,,,,https://www.google.com/maps/place/BeOne+Beauty+Center/data=!4m7!3m6!1s0x40b1ff293ff4feff:0x868ead35d5e7ca6!8m2!3d44.4320891!4d26.092243!16s%2Fg%2F1tdpq4qf!19sChIJ__70Pyn_sUARpnxeXdPqaAg?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–19; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJp6fljCwAskARB8PBGzt1_1k,"My Angel Salon - Salon, Coafor Drumul Taberei, Sector 6. Tratatamente Faciale, Keratina, Balayage Bucuresti",Salon de înfrumusețare,"Str. Sibiu 35, Bucuresti",061344,București,44.4209615,26.0479895,,+40727495261,,,,,,,,,,,"https://www.google.com/maps/place/My+Angel+Salon+-+Salon,+Coafor+Drumul+Taberei,+Sector+6.+Tratatamente+Faciale,+Keratina,+Balayage+Bucuresti/data=!4m7!3m6!1s0x40b2002c8ce5a7a7:0x59ff753b1bc1c307!8m2!3d44.4209615!4d26.0479895!16s%2Fg%2F11gb3t65rp!19sChIJp6fljCwAskARB8PBGzt1_1k?authuser=0&hl=ru&rclk=1",open,joi: 10–20; vineri: 10–20; sâmbătă: 09–17; duminică: Închis; luni: 10–20; marți: 10–20; miercuri: 10–20
ChIJBattFKv4sUARArLtzE_45-U,Artist Salon Academy Cursuri Coafor Bucuresti,Salon de înfrumusețare,"Str. Nicolae G. Caramfil 55, Bucuresti",014145,București,44.4804605,26.0923229,https://artistsalonacademy.ro/,+40736841421,,https://www.facebook.com/ArtistSalonAcademy,https://www.instagram.com/artist.salon.academy,,https://www.youtube.com/channel/UCFb0chJX_K0VhWDPg77RsOg,,,,,,https://www.google.com/maps/place/Artist+Salon+Academy+Cursuri+Coafor+Bucuresti/data=!4m7!3m6!1s0x40b1f8ab146dab05:0xe5e7f84fccedb202!8m2!3d44.4804605!4d26.0923229!16s%2Fg%2F1hc3059cv!19sChIJBattFKv4sUARArLtzE_45-U?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 10–18; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJy54LGtEBskAROoQjKfQlOa4,Cristian Bacanu Hair Salon,Salon de înfrumusețare,"Bulevardul General Paul Teodorescu nr 6, Bucuresti",061345,București,44.4283206,26.0542928,https://www.cristianbacanu.ro/programare-online/,+40725610610,cribahbeauty@gmail.com,https://www.facebook.com/cbhairsalon,https://www.instagram.com/cb_hairsalon,,,,,,https://twitter.com/hair_bacanu,,https://www.google.com/maps/place/Cristian+Bacanu+Hair+Salon/data=!4m7!3m6!1s0x40b201d11a0b9ecb:0xae3925f42923843a!8m2!3d44.4283206!4d26.0542928!16s%2Fg%2F11g6bl7s86!19sChIJy54LGtEBskAROoQjKfQlOa4?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–17; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJn5kIxMf5sUARnvtiyf47fc0,L'amour Beauty Studio,Salon de înfrumusețare,"Șoseaua Iancului 46, Bucuresti",021726,București,44.4414348,26.1390717,https://www.lamour.ro/,+40769550016,office@lamour.ro,https://www.facebook.com/lamour.ro,https://www.instagram.com/lamour_ro,,,https://www.tiktok.com/@lamourbeautyro,,,,,https://www.google.com/maps/place/L%27amour+Beauty+Studio/data=!4m7!3m6!1s0x40b1f9c7c408999f:0xcd7d3bfec962fb9e!8m2!3d44.4414348!4d26.1390717!16s%2Fg%2F11s0v1bfm4!19sChIJn5kIxMf5sUARnvtiyf47fc0?authuser=0&hl=ru&rclk=1,unspecified,
ChIJI2wvFGr5sUARoCIitPDSYQI,The SETUP,Salon de înfrumusețare,"Str. Barbu Văcărescu 131, Bucuresti",020284,București,44.459992,26.1066135,https://www.thesetup.ro/,+40725211211,hello@thesetup.ro,https://www.facebook.com/bconstantin33,https://www.instagram.com/busuconstantin,,,https://www.tiktok.com/@thesetup.ro,,,,https://ro.pinterest.com/thesetupro,https://www.google.com/maps/place/The+SETUP/data=!4m7!3m6!1s0x40b1f96a142f6c23:0x261d2f0b42222a0!8m2!3d44.459992!4d26.1066135!16s%2Fg%2F11h37m7j01!19sChIJI2wvFGr5sUARoCIitPDSYQI?authuser=0&hl=ru&rclk=1,open,joi: 08–21; vineri: 08–21; sâmbătă: 09–19; duminică: Închis; luni: 08–21; marți: 08–21; miercuri: 08–21
ChIJrWt5SMX_sUARNHXdD3MmfxA,INAD CONCEPT by Dani Voicu,Salon de înfrumusețare,"Calea 13 Septembrie 164, Bucuresti",061344,București,44.4225644,26.0700732,https://inadconcept.ro/contact/,+40727334450,contact@inadconcept.ro,https://www.facebook.com/inaconceptbydanivoicu,https://www.instagram.com/inadconcept,https://wa.me/+40727334450,,https://www.tiktok.com/@inadconcept,,,,,https://www.google.com/maps/place/INAD+CONCEPT+by+Dani+Voicu/data=!4m7!3m6!1s0x40b1ffc548796bad:0x107f26730fdd7534!8m2!3d44.4225644!4d26.0700732!16s%2Fg%2F11j8t39q76!19sChIJrWt5SMX_sUARNHXdD3MmfxA?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: 09–21; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJY5G--6IBskARstu2djmhOkA,"Miss Rock Style - beauty salon -servicii vopsit, balayage, tuns, extensii, Manic Panic",Salon de înfrumusețare,"Bulevardul Dimitrie Cantemir 2, Bucuresti",030167,București,44.4255746,26.1034691,,+40731925806,,https://www.facebook.com/anngell13,,,,,,,,,"https://www.google.com/maps/place/Miss+Rock+Style+-+beauty+salon+-servicii+vopsit,+balayage,+tuns,+extensii,+Manic+Panic/data=!4m7!3m6!1s0x40b201a2fbbe9163:0x403aa13976b6dbb2!8m2!3d44.4255746!4d26.1034691!16s%2Fg%2F11hdws55vy!19sChIJY5G--6IBskARstu2djmhOkA?authuser=0&hl=ru&rclk=1",open,joi: 09–20; vineri: 09–20; sâmbătă: 09–18; duminică: Închis; luni: 09–20; marți: 09–20; miercuri: 09–20
ChIJZzDp9gH_sUAR2qiSSjMx6RY,KAENY,Salon de înfrumusețare,"Strada Ion Pilat 1, Bucuresti",030167,București,44.4266111,26.1230156,,+40792313265,,,,,,,,,,,https://www.google.com/maps/place/KAENY/data=!4m7!3m6!1s0x40b1ff01f6e93067:0x16e931334a92a8da!8m2!3d44.4266111!4d26.1230156!16s%2Fg%2F11ksb80j9w!19sChIJZzDp9gH_sUAR2qiSSjMx6RY?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJiej7jMT5sUARGk7hDk85rjo,Cube Beauty Room,Salon de înfrumusețare,"VITAN ESTATES Strada MOTILOR, VITAN, Șoseaua Mihai Bravu 15 B, Bucuresti",031521,București,44.4125592,26.1250772,,+40722439428,,,,,,,,,,,https://www.google.com/maps/place/Cube+Beauty+Room/data=!4m7!3m6!1s0x40b1f9c48cfbe889:0x3aae394f0ee14e1a!8m2!3d44.4125592!4d26.1250772!16s%2Fg%2F11s99spb2h!19sChIJiej7jMT5sUARGk7hDk85rjo?authuser=0&hl=ru&rclk=1,open,joi: 10–22; vineri: 10–22; sâmbătă: 10–22; duminică: 10–22; luni: 10–22; marți: 10–22; miercuri: 10–22
ChIJ5f2zVTL_sUAR42EH4uJMD_E,Ella Grad Hair,Salon de înfrumusețare,"Strada Dristorului 73, Bucuresti",031532,București,44.425989,26.135974,,+40768245431,,,,,,,,,,,https://www.google.com/maps/place/Ella+Grad+Hair/data=!4m7!3m6!1s0x40b1ff3255b3fde5:0xf10f4ce2e20761e3!8m2!3d44.425989!4d26.135974!16s%2Fg%2F11x5gtd1j8!19sChIJ5f2zVTL_sUAR42EH4uJMD_E?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJI_pa9oH_sUARq8AQywmMPyA,Florin Rosca Hair Art Concept,Coafor,"Șoseaua Nicolae Titulescu nr.18, Bucuresti",011142,București,44.4523208,26.0772774,,+40732937622,,,,,,,,,,,https://www.google.com/maps/place/Florin+Rosca+Hair+Art+Concept/data=!4m7!3m6!1s0x40b1ff81f65afa23:0x203f8c09cb10c0ab!8m2!3d44.4523208!4d26.0772774!16s%2Fg%2F11h2gd_mw3!19sChIJI_pa9oH_sUARq8AQywmMPyA?authuser=0&hl=ru&rclk=1,open,joi: 09:30–21; vineri: 09:30–21; sâmbătă: 09:30–21; duminică: 10–17; luni: 09:30–21; marți: 09:30–21; miercuri: 09:30–21
ChIJHSvmLZn_sUAR9YXrjMbi4EM,Bassam Concept Salon,Salon de înfrumusețare,"Bulevardul Libertății 22, Bucuresti",050707,București,44.4321498,26.092307,https://bassamconcept.book.app/,+40760898020,programarisalon@gmail.com,https://www.facebook.com/Bassamconceptsalon,https://www.instagram.com/Bassamconceptsalon,,,,,,,,https://www.google.com/maps/place/Bassam+Concept+Salon/data=!4m7!3m6!1s0x40b1ff992de62b1d:0x43e0e2c68ceb85f5!8m2!3d44.4321498!4d26.092307!16s%2Fg%2F11h3jsxf88!19sChIJHSvmLZn_sUAR9YXrjMbi4EM?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 07–20; duminică: 09–21; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJSzR1vA0CskAR4kkNM-GssZ0,The Clique-Hair Studio,Coafor,"Bulevardul Primăverii 32, Bucuresti",014192,București,44.4683279,26.0908563,,+40767278286,,,,,,,,,,,https://www.google.com/maps/place/The+Clique-Hair+Studio/data=!4m7!3m6!1s0x40b2020dbc75344b:0x9db1ace1330d49e2!8m2!3d44.4683279!4d26.0908563!16s%2Fg%2F11f_kp9ny6!19sChIJSzR1vA0CskAR4kkNM-GssZ0?authuser=0&hl=ru&rclk=1,open,joi: 12–20; vineri: 12–20; sâmbătă: 09–17; duminică: Închis; luni: Închis; marți: 12–20; miercuri: 12–20
ChIJCVdUAjv_sUARJNFMeT0sG6A,Ark salon,Salon de înfrumusețare,"57 C, Șoseaua Viilor, Bucuresti",050152,București,44.412619,26.0880513,,+40723047861,,,https://instagram.com/ark.salon.bucuresti,,,,,,,,https://www.google.com/maps/place/Ark+salon/data=!4m7!3m6!1s0x40b1ff3b02545709:0xa01b2c3d794cd124!8m2!3d44.412619!4d26.0880513!16s%2Fg%2F11jyx0h8gq!19sChIJCVdUAjv_sUARJNFMeT0sG6A?authuser=0&hl=ru&rclk=1,open,joi: 10–20; vineri: 10–20; sâmbătă: 10–17; duminică: Închis; luni: 10–20; marți: 10–20; miercuri: 10–20
ChIJu4VvHTn_sUARB0XEm-ax4u0,ABBATE Rosetti,Salon de înfrumusețare,"Strada Dimitrie Bolintineanu 2, Bucuresti",030167,București,44.4350075,26.1064469,https://abbate.ro/page/17/abbate-rosetti.html,+40213131198,office@abbate.ro,https://www.facebook.com/pg/AbbateSalon,https://www.instagram.com/abbate_salon,,,,,,,,https://www.google.com/maps/place/ABBATE+Rosetti/data=!4m7!3m6!1s0x40b1ff391d6f85bb:0xede2b1e69bc44507!8m2!3d44.4350075!4d26.1064469!16s%2Fg%2F11gdt11n4n!19sChIJu4VvHTn_sUARB0XEm-ax4u0?authuser=0&hl=ru&rclk=1,open,joi: 08–21; vineri: 08–21; sâmbătă: 08–21; duminică: 08–14; luni: 08–21; marți: 08–21; miercuri: 08–21
ChIJHblHmh__sUAR9EGRnMfu_pU,55Studio Beauty Center,Salon de înfrumusețare,"Bulevardul Octavian Goga 21, Bucuresti",030983,București,44.4241714,26.119665,https://55studio.ro/programari-55-studio/,+40769088900,contact@55studio.ro,https://www.facebook.com/BeautyCenterStudio55,,,,,,,,,https://www.google.com/maps/place/55Studio+Beauty+Center/data=!4m7!3m6!1s0x40b1ff1f9a47b91d:0x95feeec79c9141f4!8m2!3d44.4241714!4d26.119665!16s%2Fg%2F11gc_mm1m6!19sChIJHblHmh__sUAR9EGRnMfu_pU?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJvVAaTMz5sUARlDlWO4xzFY8,Cosite,Salon de înfrumusețare,"Strada Stefan Greceanu 8, Bucuresti",202528,București,44.452247,26.104734,https://www.cosite.ro/,+40755078356,,https://www.facebook.com/profile.php?id=100089457829555,https://www.instagram.com/cosite.ro,,,https://www.tiktok.com/@cosite.ro,,,,,https://www.google.com/maps/place/Cosite/data=!4m7!3m6!1s0x40b1f9cc4c1a50bd:0x8f15738c3b563994!8m2!3d44.452247!4d26.104734!16s%2Fg%2F11txs54n7z!19sChIJvVAaTMz5sUARlDlWO4xzFY8?authuser=0&hl=ru&rclk=1,open,joi: 10–19; vineri: 10–19; sâmbătă: 10–18; duminică: Închis; luni: 10–19; marți: 10–19; miercuri: 10–19
ChIJBya6R2IDskARR5hAUWzVRVc,Mojo the hair salon,Salon de înfrumusețare,Șoseaua Bucuresti-Ploiești 24-28,062022,București,44.4921536,26.0795185,,+40749666649,,,,,,,,,,,https://www.google.com/maps/place/Mojo+the+hair+salon/data=!4m7!3m6!1s0x40b2036247ba2607:0x5745d56c51409847!8m2!3d44.4921536!4d26.0795185!16s%2Fg%2F11ld3l_vsq!19sChIJBya6R2IDskARR5hAUWzVRVc?authuser=0&hl=ru&rclk=1,open,joi: 10–20; vineri: 10–20; sâmbătă: 10–19; duminică: Închis; luni: 10–20; marți: 10–20; miercuri: 10–20
